theme,name,link,text
economics,"Эксперт объяснил, как россиянам поехать в санаторий бесплатно",https://finance.mail.ru/2024-10-15/ekspert-obyasnil-kak-rossiyanam-poehat-v-sanatoriy-besplatno-63218504/,"Депутат Госдумы Никита Чаплин в беседе с NEWS.ru сообщил, что оформить бесплатные путевки в санаторий смогут россияне с различными заболеваниями, включая мигрень и гастрит."
economics,Центробанк предложил новые меры борьбы с закредитованностью россиян,https://finance.mail.ru/2024-10-15/centrobank-predlozhil-novye-mery-borby-s-zakreditovannostyu-rossiyan-63212641/,"Микрофинансовые организации (МФО) в России не смогут выдавать несколько займов одному клиенту. Сейчас обсуждаются меры по защите заемщиков. От участников рынка поступило более 100 предложений, говорится в официальном пресс-релизе Центрального Банка РФ."
economics,Экономисты рассказали о разнице в зарплате по гендерному принципу в РФ,https://finance.mail.ru/2024-10-15/ekonomisty-rasskazali-o-raznice-v-zarplate-po-gendernomu-principu-v-rf-63218571/,"МОСКВА, 15 октября. /ТАСС/. Экономисты выяснили, что выпускницы российских вузов в первые шесть месяцев работы в среднем получают на 14% меньше по сравнению с выпускниками, причем в последующие четыре года работы гендерный разрыв в уровне зарплат увеличивается почти вдвое. Об этом сообщила пресс-служба НИУ ВШЭ."
economics,«Аэрофлот» перейдет на зимнее расписание полетов с 27 октября,https://finance.mail.ru/2024-10-15/aeroflot-pereydet-na-zimnee-raspisanie-poletov-s-27-oktyabrya-63218369/,"С 27 октября группа «Аэрофлот» (авиакомпании «Аэрофлот», «Россия» и «Победа») перейдет на зимнее расписание полетов, сообщила пресс-служба компании."
politics,Возле Красноярской ТЭЦ-1 планируют построить новый жилой комплекс,https://news.mail.ru/economics/63213199/,Новый жилой микрорайон может появиться на окраине Красноярска.
politics,"Экономисты рассказали, спасет ли ОПЕК+ рынок нефти",https://finance.mail.ru/2024-10-15/ekonomisty-rasskazali-spaset-li-opek-rynok-nefti-63163191/,"Конфликт на Ближнем Востоке сделал ситуацию на нефтяном рынке более непредсказуемой, чем в начале пандемии коронавируса. Каким образом он влияет на нефтяную отрасль и сможет ли ОПЕК+ стабилизировать ситуацию, разбирались Финансы Mail."
politics,Старший вице-президент Сбера Ганеев: принципы партнерства — основа деловых отношений,https://news.mail.ru/economics/63222988/,"Накануне VI Российского исламского экономического форума «Россия — гарант партнерства» старший вице-президент Сбербанка Олег Ганеев рассказал «Газете.Ru», как в банке развивается сегмент партнерского финансирования и какое место он занимает в общей стратегии человекоцентричности."
politics,ФАС назвала аномально высокой наценку на хлеб в торговых сетях,https://finance.mail.ru/2024-10-15/fas-nazvala-anomalno-vysokoy-nacenku-na-hleb-v-torgovyh-setyah-63221973/,"СОЧИ, 15 октября. /ТАСС/. Федеральная антимонопольная служба (ФАС) России назвала аномально высокой наценку на хлеб в торговых сетях. Об этом журналистам заявил руководитель службы Максим Шаскольский в кулуарах Всероссийской тарифной конференции."
politics,Бакальчук выступил с новым обвинением в адрес основательницы Wildberries,https://finance.mail.ru/2024-10-15/bakalchuk-vystupil-s-novym-obvineniem-v-adres-osnovatelnicy-wildberries-63222476/,"Миллиардные долги рекламной группы Russ перед банком ВТБ и Федеральной налоговой службой (ФНС) были погашены за счет доходов маркетплейса, написал Владислав Бакальчук, бывший муж основательницы Wildberries Татьяны Ким, в своем Telegram-канале."
politics,Мосбиржа запустит торги платиной и палладием,https://finance.mail.ru/2024-10-15/mosbirzha-zapustit-torgi-platinoy-i-palladiem-63222327/,"Московская биржа расширяет линейку инструментов рынка драгоценных металлов с 21 октября, следует из сообщения ее пресс-службы."
