theme,name,link,text
politics,Путин передал «Главпродукт» во временное госуправление,https://finance.mail.ru/2024-10-15/putin-peredal-glavprodukt-vo-vremennoe-gosupravlenie-63221687/,"Указом президента Владимира Путина вводится временное управление в компании — производителе консервов «Главпродукт» (выпускает тушенку, паштеты, каши, шпроты, овощи, сгущенку). Документ размещен на портале правовой информации."
politics,В Европе резко подешевел один энергоноситель,https://finance.mail.ru/2024-10-15/v-evrope-rezko-podeshevel-odin-energonositel-63219641/,"Природный газ в Европе резко подешевел, после того как Израиль пообещал не наносить ударов по нефтяным и ядерным объектам Ирана. Об этом сообщило агентство Bloomberg."
politics,В Турции составили список «налоговых наглецов»,https://finance.mail.ru/2024-10-15/v-turcii-sostavili-spisok-nalogovyh-naglecov-63220087/,"Минфин Турции объявил кампанию по борьбе с неплательщиками налогов из-за масштабов теневой экономики. Власти обнаружили сотни владельцев роскошных автомобилей, не платящих налоги. Данные самых злостных нарушителей опубликуют."
politics,"Россиянам рассказали, где лучше отдыхать с детьми на осенних каникулах",https://finance.mail.ru/2024-10-15/rossiyanam-rasskazali-gde-luchshe-otdyhat-s-detmi-na-osennih-kanikulah-63220111/,Тревел-блогер Наталия Ансталь в интервью NEWS.ru назвала лучшие места для семейных поездок в период осенних каникул. Эксперт рекомендует выбирать южные регионы Турции и Египет.
politics,Дан прогноз на подорожание доллара до 100 рублей,https://finance.mail.ru/2024-10-15/dan-prognoz-na-podorozhanie-dollara-do-100-rubley-63219206/,"Не исключено, что власти России смирились с тем, что российская валюта упадет до 100 рублей за доллар, хотя раньше такие перспективы вызывали очень жесткую политическую реакцию. Об этом сообщило издание Bloomberg."
politics,Генпрокуратура потребовала взыскать с Shell более миллиарда евро убытков,https://finance.mail.ru/2024-10-15/genprokuratura-potrebovala-vzyskat-s-shell-bolee-milliarda-evro-ubytkov-63219535/,"МОСКВА, 15 окт — РИА Новости. Генеральная прокуратура России в своем иске к структурам британо-нидерландской энергетической корпорации Shell требует взыскать с них более 1 миллиарда евро убытков, сообщили РИА Новости в пресс-службе арбитражного суда Москвы."
politics,В российских мегаполисах снизилась стоимость аренды жилья,https://finance.mail.ru/2024-10-15/v-rossiyskih-megapolisah-snizilas-stoimost-arendy-zhilya-63219559/,"В городах Самара и Санкт-Петербург зафиксировано максимальное снижение арендных ставок. Эксперты ожидают, что эта сезонная тенденция будет продолжаться и оказывать влияние на рынок аренды в крупных городах вплоть до начала 2025 года."
politics,АКРА прогнозирует снижение выдачи ипотеки в России больше чем на треть,https://finance.mail.ru/2024-10-15/akra-prognoziruet-snizhenie-vydachi-ipoteki-v-rossii-bolshe-chem-na-tret-63211996/,"МОСКВА, 15 окт — РИА Недвижимость. Выдача ипотеки в России в 2024 году упадет относительно прошлогоднего показателя на 35% — до 5−5,2 триллиона рублей, говорится в обзоре рейтингового агентства АКРА."
politics,Индекс Мосбиржи поднялся выше 2800 пунктов,https://finance.mail.ru/2024-10-15/indeks-mosbirzhi-podnyalsya-vyshe-2800-punktov-63219317/,"Индекс Мосбиржи (IMOEX) вырос на 1,02%, до 2801,63 пункта, свидетельствуют данные торгов на 12:53 мск. В предыдущий раз выше отметки 2800 пунктов бенчмарк был неделю назад — 7 октября 2024 года."
politics,Банк России утвердил Основные направления развития финансовых технологий до 2027 года,https://finance.mail.ru/2024-10-15/bank-rossii-utverdil-osnovnye-napravleniya-razvitiya-finansovyh-tehnologiy-do-2027-63219247/,"Регулятор сфокусируется на развитии элементов цифровой и платежной инфраструктуры, совершенствовании правовой базы, обеспечении технологического суверенитета и информационной безопасности, сообщается на официальном сайте ЦБ РФ."
politics,Производитель лака «Прелесть» инвестирует $100 млн в строительство завода в Узбекистане,https://finance.mail.ru/2024-10-15/proizvoditel-laka-prelest-investiruet-100-mln-v-stroitelstvo-zavoda-v-uzbekistane-63218748/,"МОСКВА, 15 октября. /ТАСС/. Компания «Арнест упаковочные решения» (входит в ГК «Арнест») построит в Узбекистане завод по выпуску алюминиевой банки, общая сумма инвестиций составит порядка $100 млн. Об этом ТАСС сообщили в пресс-службе компании."
politics,"Эксперт объяснил, как россиянам поехать в санаторий бесплатно",https://finance.mail.ru/2024-10-15/ekspert-obyasnil-kak-rossiyanam-poehat-v-sanatoriy-besplatno-63218504/,"Депутат Госдумы Никита Чаплин в беседе с NEWS.ru сообщил, что оформить бесплатные путевки в санаторий смогут россияне с различными заболеваниями, включая мигрень и гастрит."
politics,Центробанк предложил новые меры борьбы с закредитованностью россиян,https://finance.mail.ru/2024-10-15/centrobank-predlozhil-novye-mery-borby-s-zakreditovannostyu-rossiyan-63212641/,"Микрофинансовые организации (МФО) в России не смогут выдавать несколько займов одному клиенту. Сейчас обсуждаются меры по защите заемщиков. От участников рынка поступило более 100 предложений, говорится в официальном пресс-релизе Центрального Банка РФ."
politics,Экономисты рассказали о разнице в зарплате по гендерному принципу в РФ,https://finance.mail.ru/2024-10-15/ekonomisty-rasskazali-o-raznice-v-zarplate-po-gendernomu-principu-v-rf-63218571/,"МОСКВА, 15 октября. /ТАСС/. Экономисты выяснили, что выпускницы российских вузов в первые шесть месяцев работы в среднем получают на 14% меньше по сравнению с выпускниками, причем в последующие четыре года работы гендерный разрыв в уровне зарплат увеличивается почти вдвое. Об этом сообщила пресс-служба НИУ ВШЭ."
politics,«Аэрофлот» перейдет на зимнее расписание полетов с 27 октября,https://finance.mail.ru/2024-10-15/aeroflot-pereydet-na-zimnee-raspisanie-poletov-s-27-oktyabrya-63218369/,"С 27 октября группа «Аэрофлот» (авиакомпании «Аэрофлот», «Россия» и «Победа») перейдет на зимнее расписание полетов, сообщила пресс-служба компании."
society,Возле Красноярской ТЭЦ-1 планируют построить новый жилой комплекс,https://news.mail.ru/economics/63213199/,Новый жилой микрорайон может появиться на окраине Красноярска.
society,"Экономисты рассказали, спасет ли ОПЕК+ рынок нефти",https://finance.mail.ru/2024-10-15/ekonomisty-rasskazali-spaset-li-opek-rynok-nefti-63163191/,"Конфликт на Ближнем Востоке сделал ситуацию на нефтяном рынке более непредсказуемой, чем в начале пандемии коронавируса. Каким образом он влияет на нефтяную отрасль и сможет ли ОПЕК+ стабилизировать ситуацию, разбирались Финансы Mail."
society,Старший вице-президент Сбера Ганеев: принципы партнерства — основа деловых отношений,https://news.mail.ru/economics/63222988/,"Накануне VI Российского исламского экономического форума «Россия — гарант партнерства» старший вице-президент Сбербанка Олег Ганеев рассказал «Газете.Ru», как в банке развивается сегмент партнерского финансирования и какое место он занимает в общей стратегии человекоцентричности."
society,ФАС назвала аномально высокой наценку на хлеб в торговых сетях,https://finance.mail.ru/2024-10-15/fas-nazvala-anomalno-vysokoy-nacenku-na-hleb-v-torgovyh-setyah-63221973/,"СОЧИ, 15 октября. /ТАСС/. Федеральная антимонопольная служба (ФАС) России назвала аномально высокой наценку на хлеб в торговых сетях. Об этом журналистам заявил руководитель службы Максим Шаскольский в кулуарах Всероссийской тарифной конференции."
society,Бакальчук выступил с новым обвинением в адрес основательницы Wildberries,https://finance.mail.ru/2024-10-15/bakalchuk-vystupil-s-novym-obvineniem-v-adres-osnovatelnicy-wildberries-63222476/,"Миллиардные долги рекламной группы Russ перед банком ВТБ и Федеральной налоговой службой (ФНС) были погашены за счет доходов маркетплейса, написал Владислав Бакальчук, бывший муж основательницы Wildberries Татьяны Ким, в своем Telegram-канале."
society,Мосбиржа запустит торги платиной и палладием,https://finance.mail.ru/2024-10-15/mosbirzha-zapustit-torgi-platinoy-i-palladiem-63222327/,"Московская биржа расширяет линейку инструментов рынка драгоценных металлов с 21 октября, следует из сообщения ее пресс-службы."
society,Путин передал «Главпродукт» во временное госуправление,https://finance.mail.ru/2024-10-15/putin-peredal-glavprodukt-vo-vremennoe-gosupravlenie-63221687/,"Указом президента Владимира Путина вводится временное управление в компании — производителе консервов «Главпродукт» (выпускает тушенку, паштеты, каши, шпроты, овощи, сгущенку). Документ размещен на портале правовой информации."
society,В Европе резко подешевел один энергоноситель,https://finance.mail.ru/2024-10-15/v-evrope-rezko-podeshevel-odin-energonositel-63219641/,"Природный газ в Европе резко подешевел, после того как Израиль пообещал не наносить ударов по нефтяным и ядерным объектам Ирана. Об этом сообщило агентство Bloomberg."
society,В Турции составили список «налоговых наглецов»,https://finance.mail.ru/2024-10-15/v-turcii-sostavili-spisok-nalogovyh-naglecov-63220087/,"Минфин Турции объявил кампанию по борьбе с неплательщиками налогов из-за масштабов теневой экономики. Власти обнаружили сотни владельцев роскошных автомобилей, не платящих налоги. Данные самых злостных нарушителей опубликуют."
society,"Россиянам рассказали, где лучше отдыхать с детьми на осенних каникулах",https://finance.mail.ru/2024-10-15/rossiyanam-rasskazali-gde-luchshe-otdyhat-s-detmi-na-osennih-kanikulah-63220111/,Тревел-блогер Наталия Ансталь в интервью NEWS.ru назвала лучшие места для семейных поездок в период осенних каникул. Эксперт рекомендует выбирать южные регионы Турции и Египет.
society,Дан прогноз на подорожание доллара до 100 рублей,https://finance.mail.ru/2024-10-15/dan-prognoz-na-podorozhanie-dollara-do-100-rubley-63219206/,"Не исключено, что власти России смирились с тем, что российская валюта упадет до 100 рублей за доллар, хотя раньше такие перспективы вызывали очень жесткую политическую реакцию. Об этом сообщило издание Bloomberg."
society,Генпрокуратура потребовала взыскать с Shell более миллиарда евро убытков,https://finance.mail.ru/2024-10-15/genprokuratura-potrebovala-vzyskat-s-shell-bolee-milliarda-evro-ubytkov-63219535/,"МОСКВА, 15 окт — РИА Новости. Генеральная прокуратура России в своем иске к структурам британо-нидерландской энергетической корпорации Shell требует взыскать с них более 1 миллиарда евро убытков, сообщили РИА Новости в пресс-службе арбитражного суда Москвы."
society,В российских мегаполисах снизилась стоимость аренды жилья,https://finance.mail.ru/2024-10-15/v-rossiyskih-megapolisah-snizilas-stoimost-arendy-zhilya-63219559/,"В городах Самара и Санкт-Петербург зафиксировано максимальное снижение арендных ставок. Эксперты ожидают, что эта сезонная тенденция будет продолжаться и оказывать влияние на рынок аренды в крупных городах вплоть до начала 2025 года."
society,АКРА прогнозирует снижение выдачи ипотеки в России больше чем на треть,https://finance.mail.ru/2024-10-15/akra-prognoziruet-snizhenie-vydachi-ipoteki-v-rossii-bolshe-chem-na-tret-63211996/,"МОСКВА, 15 окт — РИА Недвижимость. Выдача ипотеки в России в 2024 году упадет относительно прошлогоднего показателя на 35% — до 5−5,2 триллиона рублей, говорится в обзоре рейтингового агентства АКРА."
society,Индекс Мосбиржи поднялся выше 2800 пунктов,https://finance.mail.ru/2024-10-15/indeks-mosbirzhi-podnyalsya-vyshe-2800-punktov-63219317/,"Индекс Мосбиржи (IMOEX) вырос на 1,02%, до 2801,63 пункта, свидетельствуют данные торгов на 12:53 мск. В предыдущий раз выше отметки 2800 пунктов бенчмарк был неделю назад — 7 октября 2024 года."
society,Банк России утвердил Основные направления развития финансовых технологий до 2027 года,https://finance.mail.ru/2024-10-15/bank-rossii-utverdil-osnovnye-napravleniya-razvitiya-finansovyh-tehnologiy-do-2027-63219247/,"Регулятор сфокусируется на развитии элементов цифровой и платежной инфраструктуры, совершенствовании правовой базы, обеспечении технологического суверенитета и информационной безопасности, сообщается на официальном сайте ЦБ РФ."
society,Производитель лака «Прелесть» инвестирует $100 млн в строительство завода в Узбекистане,https://finance.mail.ru/2024-10-15/proizvoditel-laka-prelest-investiruet-100-mln-v-stroitelstvo-zavoda-v-uzbekistane-63218748/,"МОСКВА, 15 октября. /ТАСС/. Компания «Арнест упаковочные решения» (входит в ГК «Арнест») построит в Узбекистане завод по выпуску алюминиевой банки, общая сумма инвестиций составит порядка $100 млн. Об этом ТАСС сообщили в пресс-службе компании."
society,"Эксперт объяснил, как россиянам поехать в санаторий бесплатно",https://finance.mail.ru/2024-10-15/ekspert-obyasnil-kak-rossiyanam-poehat-v-sanatoriy-besplatno-63218504/,"Депутат Госдумы Никита Чаплин в беседе с NEWS.ru сообщил, что оформить бесплатные путевки в санаторий смогут россияне с различными заболеваниями, включая мигрень и гастрит."
society,Центробанк предложил новые меры борьбы с закредитованностью россиян,https://finance.mail.ru/2024-10-15/centrobank-predlozhil-novye-mery-borby-s-zakreditovannostyu-rossiyan-63212641/,"Микрофинансовые организации (МФО) в России не смогут выдавать несколько займов одному клиенту. Сейчас обсуждаются меры по защите заемщиков. От участников рынка поступило более 100 предложений, говорится в официальном пресс-релизе Центрального Банка РФ."
society,Экономисты рассказали о разнице в зарплате по гендерному принципу в РФ,https://finance.mail.ru/2024-10-15/ekonomisty-rasskazali-o-raznice-v-zarplate-po-gendernomu-principu-v-rf-63218571/,"МОСКВА, 15 октября. /ТАСС/. Экономисты выяснили, что выпускницы российских вузов в первые шесть месяцев работы в среднем получают на 14% меньше по сравнению с выпускниками, причем в последующие четыре года работы гендерный разрыв в уровне зарплат увеличивается почти вдвое. Об этом сообщила пресс-служба НИУ ВШЭ."
society,«Аэрофлот» перейдет на зимнее расписание полетов с 27 октября,https://finance.mail.ru/2024-10-15/aeroflot-pereydet-na-zimnee-raspisanie-poletov-s-27-oktyabrya-63218369/,"С 27 октября группа «Аэрофлот» (авиакомпании «Аэрофлот», «Россия» и «Победа») перейдет на зимнее расписание полетов, сообщила пресс-служба компании."
incident,Возле Красноярской ТЭЦ-1 планируют построить новый жилой комплекс,https://news.mail.ru/economics/63213199/,Новый жилой микрорайон может появиться на окраине Красноярска.
incident,"Экономисты рассказали, спасет ли ОПЕК+ рынок нефти",https://finance.mail.ru/2024-10-15/ekonomisty-rasskazali-spaset-li-opek-rynok-nefti-63163191/,"Конфликт на Ближнем Востоке сделал ситуацию на нефтяном рынке более непредсказуемой, чем в начале пандемии коронавируса. Каким образом он влияет на нефтяную отрасль и сможет ли ОПЕК+ стабилизировать ситуацию, разбирались Финансы Mail."
incident,Старший вице-президент Сбера Ганеев: принципы партнерства — основа деловых отношений,https://news.mail.ru/economics/63222988/,"Накануне VI Российского исламского экономического форума «Россия — гарант партнерства» старший вице-президент Сбербанка Олег Ганеев рассказал «Газете.Ru», как в банке развивается сегмент партнерского финансирования и какое место он занимает в общей стратегии человекоцентричности."
incident,ФАС назвала аномально высокой наценку на хлеб в торговых сетях,https://finance.mail.ru/2024-10-15/fas-nazvala-anomalno-vysokoy-nacenku-na-hleb-v-torgovyh-setyah-63221973/,"СОЧИ, 15 октября. /ТАСС/. Федеральная антимонопольная служба (ФАС) России назвала аномально высокой наценку на хлеб в торговых сетях. Об этом журналистам заявил руководитель службы Максим Шаскольский в кулуарах Всероссийской тарифной конференции."
incident,Бакальчук выступил с новым обвинением в адрес основательницы Wildberries,https://finance.mail.ru/2024-10-15/bakalchuk-vystupil-s-novym-obvineniem-v-adres-osnovatelnicy-wildberries-63222476/,"Миллиардные долги рекламной группы Russ перед банком ВТБ и Федеральной налоговой службой (ФНС) были погашены за счет доходов маркетплейса, написал Владислав Бакальчук, бывший муж основательницы Wildberries Татьяны Ким, в своем Telegram-канале."
incident,Мосбиржа запустит торги платиной и палладием,https://finance.mail.ru/2024-10-15/mosbirzha-zapustit-torgi-platinoy-i-palladiem-63222327/,"Московская биржа расширяет линейку инструментов рынка драгоценных металлов с 21 октября, следует из сообщения ее пресс-службы."
incident,Путин передал «Главпродукт» во временное госуправление,https://finance.mail.ru/2024-10-15/putin-peredal-glavprodukt-vo-vremennoe-gosupravlenie-63221687/,"Указом президента Владимира Путина вводится временное управление в компании — производителе консервов «Главпродукт» (выпускает тушенку, паштеты, каши, шпроты, овощи, сгущенку). Документ размещен на портале правовой информации."
incident,В Европе резко подешевел один энергоноситель,https://finance.mail.ru/2024-10-15/v-evrope-rezko-podeshevel-odin-energonositel-63219641/,"Природный газ в Европе резко подешевел, после того как Израиль пообещал не наносить ударов по нефтяным и ядерным объектам Ирана. Об этом сообщило агентство Bloomberg."
incident,В Турции составили список «налоговых наглецов»,https://finance.mail.ru/2024-10-15/v-turcii-sostavili-spisok-nalogovyh-naglecov-63220087/,"Минфин Турции объявил кампанию по борьбе с неплательщиками налогов из-за масштабов теневой экономики. Власти обнаружили сотни владельцев роскошных автомобилей, не платящих налоги. Данные самых злостных нарушителей опубликуют."
incident,"Россиянам рассказали, где лучше отдыхать с детьми на осенних каникулах",https://finance.mail.ru/2024-10-15/rossiyanam-rasskazali-gde-luchshe-otdyhat-s-detmi-na-osennih-kanikulah-63220111/,Тревел-блогер Наталия Ансталь в интервью NEWS.ru назвала лучшие места для семейных поездок в период осенних каникул. Эксперт рекомендует выбирать южные регионы Турции и Египет.
incident,Дан прогноз на подорожание доллара до 100 рублей,https://finance.mail.ru/2024-10-15/dan-prognoz-na-podorozhanie-dollara-do-100-rubley-63219206/,"Не исключено, что власти России смирились с тем, что российская валюта упадет до 100 рублей за доллар, хотя раньше такие перспективы вызывали очень жесткую политическую реакцию. Об этом сообщило издание Bloomberg."
incident,Генпрокуратура потребовала взыскать с Shell более миллиарда евро убытков,https://finance.mail.ru/2024-10-15/genprokuratura-potrebovala-vzyskat-s-shell-bolee-milliarda-evro-ubytkov-63219535/,"МОСКВА, 15 окт — РИА Новости. Генеральная прокуратура России в своем иске к структурам британо-нидерландской энергетической корпорации Shell требует взыскать с них более 1 миллиарда евро убытков, сообщили РИА Новости в пресс-службе арбитражного суда Москвы."
incident,В российских мегаполисах снизилась стоимость аренды жилья,https://finance.mail.ru/2024-10-15/v-rossiyskih-megapolisah-snizilas-stoimost-arendy-zhilya-63219559/,"В городах Самара и Санкт-Петербург зафиксировано максимальное снижение арендных ставок. Эксперты ожидают, что эта сезонная тенденция будет продолжаться и оказывать влияние на рынок аренды в крупных городах вплоть до начала 2025 года."
incident,АКРА прогнозирует снижение выдачи ипотеки в России больше чем на треть,https://finance.mail.ru/2024-10-15/akra-prognoziruet-snizhenie-vydachi-ipoteki-v-rossii-bolshe-chem-na-tret-63211996/,"МОСКВА, 15 окт — РИА Недвижимость. Выдача ипотеки в России в 2024 году упадет относительно прошлогоднего показателя на 35% — до 5−5,2 триллиона рублей, говорится в обзоре рейтингового агентства АКРА."
